"post_title","post_name","ID","post_excerpt","post_content","post_status","menu_order","post_date","post_parent","comment_status","sku","downloadable","virtual","visibility","stock","stock_status","backorders","manage_stock","regular_price","sale_price","weight","length","width","height","tax_status","tax_class","upsell_ids","crosssell_ids","featured","sale_price_dates_from","sale_price_dates_to","file_path","file_paths","download_limit","download_expiry","product_url","button_text","meta:_yoast_wpseo_focuskw","meta:_yoast_wpseo_title","meta:_yoast_wpseo_metadesc","meta:_yoast_wpseo_metakeywords","images","tax:product_type","tax:product_cat","tax:product_tag","tax:product_shipping_class","meta:total_sales","attribute:pa_color","attribute_data:pa_color","attribute_default:pa_color"
"Ninja Silhouette","ninja-silhouette-2","56","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","publish","0","2013-06-07 11:07:19","0","open","","no","no","visible","","instock","no","no","35","","","","","","","","","31","no","","","","","","","","","","","","","http://demo2.woothemes.com/woocommerce/files/2013/06/hoodie_5_front.jpg|http://demo2.woothemes.com/woocommerce/files/2013/06/hoodie_5_back.jpg","simple","Clothing|Hoodies","","","0","","",""
"Woo Logo","woo-logo-2","60","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","publish","0","2013-06-07 11:12:55","0","open","","no","no","visible","","instock","no","no","35","","","","","","","","","15","no","","","","","","","","","","","","","http://demo2.woothemes.com/woocommerce/files/2013/06/hoodie_6_front.jpg|http://demo2.woothemes.com/woocommerce/files/2013/06/hoodie_6_back.jpg","simple","Clothing|Hoodies","","","0","","",""
"Ship Your Idea","ship-your-idea-3","67","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","publish","0","2013-06-07 11:22:50","0","open","","no","no","visible","","instock","no","no","15","","","","","","","","22|40","22|40","no","","","","","","","","","","","","","http://demo2.woothemes.com/woocommerce/files/2013/06/poster_1_up.jpg|http://demo2.woothemes.com/woocommerce/files/2013/06/Poster_1_flat.jpg","simple","Posters","","","0","","",""
"Flying Ninja","flying-ninja","70","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","publish","0","2013-06-07 11:25:01","0","open","","no","no","visible","","instock","no","no","15","12","","","","","","","","","no","","","","","","","","","","","","","http://demo2.woothemes.com/woocommerce/files/2013/06/poster_2_up.jpg|http://demo2.woothemes.com/woocommerce/files/2013/06/Poster_2_flat.jpg","simple","Posters","","","0","","",""
"Premium Quality","premium-quality-2","73","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","publish","0","2013-06-07 11:27:38","0","open","","no","no","visible","","instock","no","no","15","12","","","","","","","19","","no","","","","","","","","","","","","","http://demo2.woothemes.com/woocommerce/files/2013/06/poster_3_up.jpg|http://demo2.woothemes.com/woocommerce/files/2013/06/Poster_3_flat.jpg","simple","Posters","","","0","","",""
"Woo Ninja","woo-ninja-3","76","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","publish","0","2013-06-07 11:28:45","0","open","","no","no","visible","","instock","no","no","15","","","","","","","","","34|47","no","","","","","","","","","","","","","http://demo2.woothemes.com/woocommerce/files/2013/06/poster_4_up.jpg|http://demo2.woothemes.com/woocommerce/files/2013/06/Poster_4_flat.jpg","simple","Posters","","","0","","",""
"Woo Logo","woo-logo-3","79","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","publish","0","2013-06-07 11:29:44","0","open","","no","no","visible","","instock","no","no","15","","","","","","","","","15|60","no","","","","","","","","","","","","","http://demo2.woothemes.com/woocommerce/files/2013/06/poster_5_up.jpg|http://demo2.woothemes.com/woocommerce/files/2013/06/Poster_5_flat.jpg","simple","Posters","","","0","","",""
"Woo Album #1","woo-album-1","83","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","publish","0","2013-06-07 11:33:05","0","open","","yes","no","visible","","instock","no","no","9","","","","","","","","","","no","","","","","","","","","","","","","http://demo2.woothemes.com/woocommerce/files/2013/06/cd_1_angle.jpg|http://demo2.woothemes.com/woocommerce/files/2013/06/cd_1_flat.jpg","simple","Albums|Music","","","0","","",""
"Woo Album #2","woo-album-2","87","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","publish","0","2013-06-07 11:34:14","0","open","","yes","no","visible","","instock","no","no","9","","","","","","","","","","no","","","","","","","","","","","","","http://demo2.woothemes.com/woocommerce/files/2013/06/cd_2_angle.jpg|http://demo2.woothemes.com/woocommerce/files/2013/06/cd_2_flat.jpg","simple","Albums|Music","","","0","","",""
"Woo Album #3","woo-album-3","90","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","publish","0","2013-06-07 11:35:18","0","open","","yes","no","visible","","instock","no","no","9","","","","","","","","","","no","","","","","","","","","","","","","http://demo2.woothemes.com/woocommerce/files/2013/06/cd_3_angle.jpg|http://demo2.woothemes.com/woocommerce/files/2013/06/cd_3_flat.jpg","simple","Albums|Music","","","0","","",""
"Woo Single #1","woo-single-1","93","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","publish","0","2013-06-07 11:36:34","0","open","","yes","no","visible","","instock","no","no","3","","","","","","","","","","no","","","","","","","","","","","","","http://demo2.woothemes.com/woocommerce/files/2013/06/cd_4_angle.jpg|http://demo2.woothemes.com/woocommerce/files/2013/06/cd_4_flat.jpg","simple","Music|Singles","","","0","","",""
"Woo Album #4","woo-album-4","96","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","publish","0","2013-06-07 11:37:23","0","open","","yes","no","visible","","instock","no","no","9","","","","","","","","","","no","","","","","","","","","","","","","http://demo2.woothemes.com/woocommerce/files/2013/06/cd_5_angle.jpg|http://demo2.woothemes.com/woocommerce/files/2013/06/cd_5_flat.jpg","simple","Albums|Music","","","0","","",""
"Woo Single #2","woo-single-2","99","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","publish","0","2013-06-07 11:38:12","0","open","","no","no","visible","","instock","no","no","3","2","","","","","","","","","no","","","","","","","","","","","","","http://demo2.woothemes.com/woocommerce/files/2013/06/cd_6_angle.jpg|http://demo2.woothemes.com/woocommerce/files/2013/06/cd_6_flat.jpg","simple","Music|Singles","","","0","","",""
